id,placeId,locationType,nameFr,nameEn,descriptionFr,descriptionEn,containedInPlaceStatus,streetAddress,addressLocality,addressRegion,postalCode,addressCountry,lastModification
VILLE-7018,7018,AdministrativeArea,Causapscal,Causapscal,Ville de Causapscal,Town of Causapscal,FALSE,"""""",Causapscal,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-7025,7025,AdministrativeArea,Albertville,Albertville,Municipalité de Albertville,Municipality of Albertville,FALSE,"""""",Albertville,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-7030,7030,AdministrativeArea,Saint-Léon-le-Grand,Saint-Léon-le-Grand,Municipalité de Saint-Léon-le-Grand,Municipality of Saint-Léon-le-Grand,FALSE,"""""",Saint-Léon-le-Grand,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-7035,7035,AdministrativeArea,Saint-Zénon-du-Lac-Humqui,Saint-Zénon-du-Lac-Humqui,Municipalité de Saint-Zénon-du-Lac-Humqui,Municipality of Saint-Zénon-du-Lac-Humqui,FALSE,"""""",Saint-Zénon-du-Lac-Humqui,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-7040,7040,AdministrativeArea,Sainte-Irène,Sainte-Irène,Municipalité de Sainte-Irène,Municipality of Sainte-Irène,FALSE,"""""",Sainte-Irène,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-7047,7047,AdministrativeArea,Amqui,Amqui,Ville de Amqui,Town of Amqui,FALSE,"""""",Amqui,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-7057,7057,AdministrativeArea,Lac-au-Saumon,Lac-au-Saumon,Municipalité de Lac-au-Saumon,Municipality of Lac-au-Saumon,FALSE,"""""",Lac-au-Saumon,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-7065,7065,AdministrativeArea,Saint-Alexandre-des-Lacs,Saint-Alexandre-des-Lacs,Municipalité de Saint-Alexandre-des-Lacs,Municipality of Saint-Alexandre-des-Lacs,FALSE,"""""",Saint-Alexandre-des-Lacs,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-7070,7070,AdministrativeArea,Saint-Tharcisius,Saint-Tharcisius,Municipalité de Saint-Tharcisius,Municipality of Saint-Tharcisius,FALSE,"""""",Saint-Tharcisius,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-7075,7075,AdministrativeArea,Saint-Vianney,Saint-Vianney,Municipalité de Saint-Vianney,Municipality of Saint-Vianney,FALSE,"""""",Saint-Vianney,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-7080,7080,AdministrativeArea,Val-Brillant,Val-Brillant,Municipalité de Val-Brillant,Municipality of Val-Brillant,FALSE,"""""",Val-Brillant,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-7085,7085,AdministrativeArea,Sayabec,Sayabec,Municipalité de Sayabec,Municipality of Sayabec,FALSE,"""""",Sayabec,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-7090,7090,AdministrativeArea,Saint-Cléophas,Saint-Cléophas,Municipalité de Saint-Cléophas,Municipality of Saint-Cléophas,FALSE,"""""",Saint-Cléophas,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-7095,7095,AdministrativeArea,Saint-Moïse,Saint-Moïse,Municipalité de Saint-Moïse,Municipality of Saint-Moïse,FALSE,"""""",Saint-Moïse,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-7100,7100,AdministrativeArea,Saint-Noël,Saint-Noël,Municipalité de Saint-Noël,Municipality of Saint-Noël,FALSE,"""""",Saint-Noël,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-7105,7105,AdministrativeArea,Saint-Damase,Saint-Damase,Municipalité de Saint-Damase,Municipality of Saint-Damase,FALSE,"""""",Saint-Damase,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-7902,7902,AdministrativeArea,Routhierville,Routhierville,Routhierville,Routhierville,FALSE,"""""",Routhierville,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-7904,7904,AdministrativeArea,Rivière-Vaseuse,Rivière-Vaseuse,Rivière-Vaseuse,Rivière-Vaseuse,FALSE,"""""",Rivière-Vaseuse,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-7906,7906,AdministrativeArea,Rivière-Patapédia-Est,Rivière-Patapédia-Est,Rivière-Patapédia-Est,Rivière-Patapédia-Est,FALSE,"""""",Rivière-Patapédia-Est,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-7908,7908,AdministrativeArea,Lac-Casault,Lac-Casault,Lac-Casault,Lac-Casault,FALSE,"""""",Lac-Casault,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-7910,7910,AdministrativeArea,Ruisseau-des-Mineurs,Ruisseau-des-Mineurs,Ruisseau-des-Mineurs,Ruisseau-des-Mineurs,FALSE,"""""",Ruisseau-des-Mineurs,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-7912,7912,AdministrativeArea,Lac-Alfred,Lac-Alfred,Lac-Alfred,Lac-Alfred,FALSE,"""""",Lac-Alfred,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-7914,7914,AdministrativeArea,Lac-Matapédia,Lac-Matapédia,Lac-Matapédia,Lac-Matapédia,FALSE,"""""",Lac-Matapédia,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-8005,8005,AdministrativeArea,Les Méchins,Les Méchins,Municipalité de Les Méchins,Municipality of Les Méchins,FALSE,"""""",Les Méchins,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-8010,8010,AdministrativeArea,Saint-Jean-de-Cherbourg,Saint-Jean-de-Cherbourg,Municipalité de Saint-Jean-de-Cherbourg,Municipality of Saint-Jean-de-Cherbourg,FALSE,"""""",Saint-Jean-de-Cherbourg,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-8015,8015,AdministrativeArea,Grosses-Roches,Grosses-Roches,Municipalité de Grosses-Roches,Municipality of Grosses-Roches,FALSE,"""""",Grosses-Roches,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-8023,8023,AdministrativeArea,Sainte-Félicité,Sainte-Félicité,Municipalité de Sainte-Félicité,Municipality of Sainte-Félicité,FALSE,"""""",Sainte-Félicité,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-8030,8030,AdministrativeArea,Saint-Adelme,Saint-Adelme,Municipalité de Saint-Adelme,Municipality of Saint-Adelme,FALSE,"""""",Saint-Adelme,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-8035,8035,AdministrativeArea,Saint-René-de-Matane,Saint-René-de-Matane,Municipalité de Saint-René-de-Matane,Municipality of Saint-René-de-Matane,FALSE,"""""",Saint-René-de-Matane,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-8040,8040,AdministrativeArea,Sainte-Paule,Sainte-Paule,Municipalité de Sainte-Paule,Municipality of Sainte-Paule,FALSE,"""""",Sainte-Paule,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-8053,8053,AdministrativeArea,Matane,Matane,Ville de Matane,Town of Matane,FALSE,"""""",Matane,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-8065,8065,AdministrativeArea,Saint-Léandre,Saint-Léandre,Municipalité de Saint-Léandre,Municipality of Saint-Léandre,FALSE,"""""",Saint-Léandre,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-8073,8073,AdministrativeArea,Saint-Ulric,Saint-Ulric,Municipalité de Saint-Ulric,Municipality of Saint-Ulric,FALSE,"""""",Saint-Ulric,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-8080,8080,AdministrativeArea,Baie-des-Sables,Baie-des-Sables,Municipalité de Baie-des-Sables,Municipality of Baie-des-Sables,FALSE,"""""",Baie-des-Sables,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-8902,8902,AdministrativeArea,Rivière-Bonjour,Rivière-Bonjour,Rivière-Bonjour,Rivière-Bonjour,FALSE,"""""",Rivière-Bonjour,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-9005,9005,AdministrativeArea,La Rédemption,La Rédemption,Municipalité de La Rédemption,Municipality of La Rédemption,FALSE,"""""",La Rédemption,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-9010,9010,AdministrativeArea,Saint-Charles-Garnier,Saint-Charles-Garnier,Municipalité de Saint-Charles-Garnier,Municipality of Saint-Charles-Garnier,FALSE,"""""",Saint-Charles-Garnier,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-9015,9015,AdministrativeArea,Les Hauteurs,Les Hauteurs,Municipalité de Les Hauteurs,Municipality of Les Hauteurs,FALSE,"""""",Les Hauteurs,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-9020,9020,AdministrativeArea,Sainte-Jeanne-d'Arc,Sainte-Jeanne-d'Arc,Municipalité de Sainte-Jeanne-d'Arc,Municipality of Sainte-Jeanne-d'Arc,FALSE,"""""",Sainte-Jeanne-d'Arc,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-9025,9025,AdministrativeArea,Saint-Gabriel-de-Rimouski,Saint-Gabriel-de-Rimouski,Municipalité de Saint-Gabriel-de-Rimouski,Municipality of Saint-Gabriel-de-Rimouski,FALSE,"""""",Saint-Gabriel-de-Rimouski,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-9030,9030,AdministrativeArea,Saint-Donat,Saint-Donat,Municipalité de Saint-Donat,Municipality of Saint-Donat,FALSE,"""""",Saint-Donat,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-9035,9035,AdministrativeArea,Sainte-Angèle-de-Mérici,Sainte-Angèle-de-Mérici,Municipalité de Sainte-Angèle-de-Mérici,Municipality of Sainte-Angèle-de-Mérici,FALSE,"""""",Sainte-Angèle-de-Mérici,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-9040,9040,AdministrativeArea,Padoue,Padoue,Municipalité de Padoue,Municipality of Padoue,FALSE,"""""",Padoue,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-9048,9048,AdministrativeArea,Métis-sur-Mer,Métis-sur-Mer,Ville de Métis-sur-Mer,Town of Métis-sur-Mer,FALSE,"""""",Métis-sur-Mer,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-9055,9055,AdministrativeArea,Saint-Octave-de-Métis,Saint-Octave-de-Métis,Municipalité de Saint-Octave-de-Métis,Municipality of Saint-Octave-de-Métis,FALSE,"""""",Saint-Octave-de-Métis,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-9060,9060,AdministrativeArea,Grand-Métis,Grand-Métis,Municipalité de Grand-Métis,Municipality of Grand-Métis,FALSE,"""""",Grand-Métis,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-9065,9065,AdministrativeArea,Price,Price,Municipalité de Price,Municipality of Price,FALSE,"""""",Price,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-9070,9070,AdministrativeArea,Saint-Joseph-de-Lepage,Saint-Joseph-de-Lepage,Municipalité de Saint-Joseph-de-Lepage,Municipality of Saint-Joseph-de-Lepage,FALSE,"""""",Saint-Joseph-de-Lepage,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-9077,9077,AdministrativeArea,Mont-Joli,Mont-Joli,Ville de Mont-Joli,Town of Mont-Joli,FALSE,"""""",Mont-Joli,QC,"""""",CAN,2025-03-27T15:00:00-04:00
